M [g]          R [cm]       P [dyn/cm2]      T [K]          Rho [cgs]    Vson [cm/s]    Gradc []     Grada []     Gradr []
  7.6223720D+29  3.8682984D+09  1.1992436D+13  1.1797376D+04  2.3669044D+00  3.1737236D+06  3.02116D-01  3.02116D-01  1.07308D+34
  7.4315031D+29  3.8252365D+09  1.2332239D+13  1.1897281D+04  2.4004518D+00  3.1914755D+06  3.01527D-01  3.01527D-01  1.09429D+34
  7.2416938D+29  3.7820460D+09  1.2676874D+13  1.1996486D+04  2.4341012D+00  3.2090829D+06  3.01132D-01  3.01132D-01  1.11664D+34
  7.0530166D+29  3.7387236D+09  1.3026309D+13  1.2095031D+04  2.4678575D+00  3.2253929D+06  3.00361D-01  3.00361D-01  1.14019D+34
  6.8655059D+29  3.6952578D+09  1.3380584D+13  1.2192761D+04  2.5017442D+00  3.2413568D+06  2.99497D-01  2.99497D-01  1.16507D+34
  6.6792353D+29  3.6516457D+09  1.3739662D+13  1.2289730D+04  2.5357525D+00  3.2574289D+06  2.98794D-01  2.98794D-01  1.19135D+34
  6.4942765D+29  3.6078839D+09  1.4103508D+13  1.2385987D+04  2.5698726D+00  3.2736395D+06  2.98233D-01  2.98233D-01  1.21908D+34
  6.3106991D+29  3.5639684D+09  1.4472086D+13  1.2481576D+04  2.6040942D+00  3.2900184D+06  2.97796D-01  2.97796D-01  1.24834D+34
  6.1285713D+29  3.5198945D+09  1.4845360D+13  1.2576534D+04  2.6384065D+00  3.3065947D+06  2.97467D-01  2.97467D-01  1.27922D+34
  5.9479601D+29  3.4756569D+09  1.5223296D+13  1.2670895D+04  2.6727983D+00  3.3233969D+06  2.97233D-01  2.97233D-01  1.31181D+34
  5.7689310D+29  3.4312497D+09  1.5605855D+13  1.2764689D+04  2.7072581D+00  3.3404531D+06  2.97081D-01  2.97081D-01  1.34620D+34
  5.5915486D+29  3.3866666D+09  1.5993003D+13  1.2857939D+04  2.7417740D+00  3.3577910D+06  2.97000D-01  2.97000D-01  1.38252D+34
  5.4158768D+29  3.3419006D+09  1.6384700D+13  1.2950670D+04  2.7763337D+00  3.3754377D+06  2.96980D-01  2.96980D-01  1.42089D+34
  5.2419784D+29  3.2969441D+09  1.6780910D+13  1.3042898D+04  2.8109221D+00  3.3939313D+06  2.97027D-01  2.97027D-01  1.46144D+34
  5.0699178D+29  3.2517892D+09  1.7181590D+13  1.3134650D+04  2.8455100D+00  3.4132642D+06  2.97144D-01  2.97144D-01  1.50434D+34
  4.8997576D+29  3.2064272D+09  1.7586697D+13  1.3225943D+04  2.8800795D+00  3.4338435D+06  2.97852D-01  2.97852D-01  1.54975D+34
  4.7316057D+29  3.1608610D+09  1.7996078D+13  1.3317099D+04  2.9145791D+00  3.4556480D+06  2.99115D-01  2.99115D-01  1.59768D+34
  4.5655187D+29  3.1150792D+09  1.8409696D+13  1.3408108D+04  2.9489980D+00  3.4775063D+06  3.00307D-01  3.00307D-01  1.64833D+34
  4.4015521D+29  3.0690697D+09  1.8827517D+13  1.3498948D+04  2.9833319D+00  3.4994186D+06  3.01427D-01  3.01427D-01  1.70195D+34
  4.2397616D+29  3.0228200D+09  1.9249505D+13  1.3589603D+04  3.0175762D+00  3.5213849D+06  3.02478D-01  3.02478D-01  1.75877D+34
  4.0802032D+29  2.9763173D+09  1.9675628D+13  1.3680053D+04  3.0517267D+00  3.5434051D+06  3.03461D-01  3.03461D-01  1.81909D+34
  3.9229334D+29  2.9295479D+09  2.0105850D+13  1.3770281D+04  3.0857793D+00  3.5654788D+06  3.04378D-01  3.04378D-01  1.88321D+34
  3.7680086D+29  2.8824978D+09  2.0540137D+13  1.3860271D+04  3.1197302D+00  3.5876056D+06  3.05230D-01  3.05230D-01  1.95147D+34
  3.6154859D+29  2.8351525D+09  2.0978456D+13  1.3950007D+04  3.1535757D+00  3.6097852D+06  3.06019D-01  3.06019D-01  2.02426D+34
  3.4654225D+29  2.7874967D+09  2.1420775D+13  1.4039473D+04  3.1873124D+00  3.6320170D+06  3.06746D-01  3.06746D-01  2.10201D+34
  3.3178761D+29  2.7395145D+09  2.1867062D+13  1.4128656D+04  3.2209372D+00  3.6543007D+06  3.07413D-01  3.07413D-01  2.18517D+34
  3.1729048D+29  2.6911890D+09  2.2317291D+13  1.4217543D+04  3.2544428D+00  3.6771083D+06  3.08030D-01  3.08030D-01  2.27428D+34
  3.0305680D+29  2.6425030D+09  2.2771432D+13  1.4306126D+04  3.2878240D+00  3.6997703D+06  3.08617D-01  3.08617D-01  2.36993D+34
  2.8909252D+29  2.5934383D+09  2.3229461D+13  1.4394403D+04  3.3210826D+00  3.7222710D+06  3.09173D-01  3.09173D-01  2.47278D+34
